1D Histogram for $c_1 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-1.476727	0.000000
-1.476727	0.660321
-1.403218	0.660321
-1.403218	0.668098
-1.329709	0.668098
-1.329709	0.646709
-1.256200	0.646709
-1.256200	0.667510
-1.182691	0.667510
-1.182691	0.664491
-1.109183	0.664491
-1.109183	0.680902
-1.035674	0.680902
-1.035674	0.664859
-0.962165	0.664859
-0.962165	0.670887
-0.888656	0.670887
-0.888656	0.663580
-0.815147	0.663580
-0.815147	0.679955
-0.741638	0.679955
-0.741638	0.687291
-0.668129	0.687291
-0.668129	0.707311
-0.594620	0.707311
-0.594620	0.651575
-0.521111	0.651575
-0.521111	0.698414
-0.447602	0.698414
-0.447602	0.686545
-0.374093	0.686545
-0.374093	0.705550
-0.300584	0.705550
-0.300584	0.720445
-0.227076	0.720445
-0.227076	0.711711
-0.153567	0.711711
-0.153567	0.683675
-0.080058	0.683675
-0.080058	0.683963
-0.006549	0.683963
-0.006549	0.000000

-1.476792	0.000000
-1.476792	0.673777
-1.403284	0.673777
-1.403284	0.670635
-1.329775	0.670635
-1.329775	0.662952
-1.256267	0.662952
-1.256267	0.630665
-1.182759	0.630665
-1.182759	0.635965
-1.109251	0.635965
-1.109251	0.674428
-1.035743	0.674428
-1.035743	0.660344
-0.962235	0.660344
-0.962235	0.655425
-0.888727	0.655425
-0.888727	0.651206
-0.815219	0.651206
-0.815219	0.710358
-0.741711	0.710358
-0.741711	0.640767
-0.668203	0.640767
-0.668203	0.691108
-0.594694	0.691108
-0.594694	0.712740
-0.521186	0.712740
-0.521186	0.704163
-0.447678	0.704163
-0.447678	0.727085
-0.374170	0.727085
-0.374170	0.672574
-0.300662	0.672574
-0.300662	0.678500
-0.227154	0.678500
-0.227154	0.701959
-0.153646	0.701959
-0.153646	0.725389
-0.080138	0.725389
-0.080138	0.723902
-0.006630	0.723902
-0.006630	0.000000

-1.476874	0.000000
-1.476874	0.668251
-1.403362	0.668251
-1.403362	0.568696
-1.329851	0.568696
-1.329851	0.651736
-1.256339	0.651736
-1.256339	0.685090
-1.182827	0.685090
-1.182827	0.688421
-1.109316	0.688421
-1.109316	0.720931
-1.035804	0.720931
-1.035804	0.637747
-0.962293	0.637747
-0.962293	0.682689
-0.888781	0.682689
-0.888781	0.677081
-0.815270	0.677081
-0.815270	0.678815
-0.741758	0.678815
-0.741758	0.722834
-0.668247	0.722834
-0.668247	0.715037
-0.594735	0.715037
-0.594735	0.727280
-0.521224	0.727280
-0.521224	0.703258
-0.447712	0.703258
-0.447712	0.691286
-0.374201	0.691286
-0.374201	0.701450
-0.300689	0.701450
-0.300689	0.673970
-0.227178	0.673970
-0.227178	0.683849
-0.153666	0.683849
-0.153666	0.700532
-0.080155	0.700532
-0.080155	0.624358
-0.006643	0.624358
-0.006643	0.000000

1D Histogram for $c_3 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-7.138925	0.000000
-7.138925	0.023023
-6.783127	0.023023
-6.783127	0.028666
-6.427329	0.028666
-6.427329	0.036369
-6.071530	0.036369
-6.071530	0.046567
-5.715732	0.046567
-5.715732	0.056689
-5.359934	0.056689
-5.359934	0.068010
-5.004136	0.068010
-5.004136	0.084440
-4.648337	0.084440
-4.648337	0.095764
-4.292539	0.095764
-4.292539	0.107556
-3.936741	0.107556
-3.936741	0.118156
-3.580942	0.118156
-3.580942	0.137538
-3.225144	0.137538
-3.225144	0.152999
-2.869346	0.152999
-2.869346	0.179670
-2.513548	0.179670
-2.513548	0.202040
-2.157749	0.202040
-2.157749	0.221280
-1.801951	0.221280
-1.801951	0.237727
-1.446153	0.237727
-1.446153	0.257753
-1.090355	0.257753
-1.090355	0.266869
-0.734556	0.266869
-0.734556	0.259530
-0.378758	0.259530
-0.378758	0.229932
-0.022960	0.229932
-0.022960	0.000000

-7.136636	0.000000
-7.136636	0.037225
-6.780950	0.037225
-6.780950	0.042346
-6.425265	0.042346
-6.425265	0.055342
-6.069579	0.055342
-6.069579	0.069916
-5.713894	0.069916
-5.713894	0.075399
-5.358208	0.075399
-5.358208	0.093004
-5.002523	0.093004
-5.002523	0.112000
-4.646837	0.112000
-4.646837	0.118904
-4.291152	0.118904
-4.291152	0.142282
-3.935466	0.142282
-3.935466	0.144448
-3.579781	0.144448
-3.579781	0.147932
-3.224095	0.147932
-3.224095	0.175289
-2.868410	0.175289
-2.868410	0.187566
-2.512724	0.187566
-2.512724	0.197051
-2.157039	0.197051
-2.157039	0.207167
-1.801353	0.207167
-1.801353	0.212515
-1.445668	0.212515
-1.445668	0.218223
-1.089982	0.218223
-1.089982	0.212955
-0.734297	0.212955
-0.734297	0.190053
-0.378611	0.190053
-0.378611	0.171855
-0.022926	0.171855
-0.022926	0.000000

-7.137139	0.000000
-7.137139	0.041661
-6.781441	0.041661
-6.781441	0.053888
-6.425744	0.053888
-6.425744	0.059333
-6.070046	0.059333
-6.070046	0.069228
-5.714348	0.069228
-5.714348	0.085966
-5.358650	0.085966
-5.358650	0.109360
-5.002952	0.109360
-5.002952	0.098821
-4.647254	0.098821
-4.647254	0.125873
-4.291556	0.125873
-4.291556	0.130042
-3.935858	0.130042
-3.935858	0.139548
-3.580161	0.139548
-3.580161	0.149434
-3.224463	0.149434
-3.224463	0.161030
-2.868765	0.161030
-2.868765	0.185674
-2.513067	0.185674
-2.513067	0.194114
-2.157369	0.194114
-2.157369	0.201036
-1.801671	0.201036
-1.801671	0.218398
-1.445973	0.218398
-1.445973	0.203362
-1.090275	0.203362
-1.090275	0.222767
-0.734578	0.222767
-0.734578	0.189587
-0.378880	0.189587
-0.378880	0.172255
-0.023182	0.172255
-0.023182	0.000000

